,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url
0,QB,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,T. Brady ,https://sports.yahoo.com/nfl/players/5228,35.98,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
1,WR,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,M. Wallace ,https://sports.yahoo.com/nfl/players/9348,10.70,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
2,WR,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,S. Holmes ,https://sports.yahoo.com/nfl/players/7774,7.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
3,WR,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,J. Jones ,https://sports.yahoo.com/nfl/players/24793,7.10,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
4,RB,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,R. Mendenhall ,https://sports.yahoo.com/nfl/players/8800,2.50,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
5,RB,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,F. Gore ,https://sports.yahoo.com/nfl/players/7241,7.80,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
6,TE,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,14.60,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
7,K,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,S. Suisham ,https://sports.yahoo.com/nfl/players/7527,1.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
8,DEF,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=1&mid1=1&mid2=2,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,13.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
0,QB,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=2&mid1=1&mid2=3,T. Brady ,https://sports.yahoo.com/nfl/players/5228,29.22,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
