position,manager_id,opponent_id,matchup_url,player,player_url,score,league_url
QB,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,D. Prescott ,https://sports.yahoo.com/nfl/players/29369,26.91,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,A. Green ,https://sports.yahoo.com/nfl/players/24791,8.50,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,D. Adams ,https://sports.yahoo.com/nfl/players/27581,27.50,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,R. Anderson ,https://sports.yahoo.com/nfl/players/29785,4.88,https://football.fantasysports.yahoo.com/2017/f1/347949
RB,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,C. Hyde ,https://sports.yahoo.com/nfl/players/27585,15.75,https://football.fantasysports.yahoo.com/2017/f1/347949
RB,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,G. Bernard ,https://sports.yahoo.com/nfl/players/26660,19.25,https://football.fantasysports.yahoo.com/2017/f1/347949
TE,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,T. Burton ,https://sports.yahoo.com/nfl/players/27789,23.38,https://football.fantasysports.yahoo.com/2017/f1/347949
Q/WR/T,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,J. Goff ,https://sports.yahoo.com/nfl/players/29235,14.21,https://football.fantasysports.yahoo.com/2017/f1/347949
DEF,3,2,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,Denver  - DEF ,https://sports.yahoo.com/nfl/teams/denver/,26.00,https://football.fantasysports.yahoo.com/2017/f1/347949
QB,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,A. Smith ,https://sports.yahoo.com/nfl/players/7177,11.72,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,D. Bryant ,https://sports.yahoo.com/nfl/players/23999,16.63,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,M. Evans ,https://sports.yahoo.com/nfl/players/27535,4.13,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,M. Jones Jr. ,https://sports.yahoo.com/nfl/players/25876,9.50,https://football.fantasysports.yahoo.com/2017/f1/347949
RB,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,D. Lewis ,https://sports.yahoo.com/nfl/players/24936,10.88,https://football.fantasysports.yahoo.com/2017/f1/347949
RB,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,A. Collins ,https://sports.yahoo.com/nfl/players/29405,27.75,https://football.fantasysports.yahoo.com/2017/f1/347949
TE,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,S. Anderson ,https://sports.yahoo.com/nfl/players/29789,3.00,https://football.fantasysports.yahoo.com/2017/f1/347949
Q/WR/T,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,C. Newton ,https://sports.yahoo.com/nfl/players/24788,16.23,https://football.fantasysports.yahoo.com/2017/f1/347949
DEF,2,3,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=3&mid2=2&week=14,Seattle  - DEF ,https://sports.yahoo.com/nfl/teams/seattle/,3.00,https://football.fantasysports.yahoo.com/2017/f1/347949
QB,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,B. Roethlisberger ,https://sports.yahoo.com/nfl/players/6770,28.87,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,K. Allen ,https://sports.yahoo.com/nfl/players/26699,16.88,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,L. Fitzgerald ,https://sports.yahoo.com/nfl/players/6762,8.00,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,D. Funchess ,https://sports.yahoo.com/nfl/players/28429,14.88,https://football.fantasysports.yahoo.com/2017/f1/347949
RB,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,D. Freeman ,https://sports.yahoo.com/nfl/players/27631,17.38,https://football.fantasysports.yahoo.com/2017/f1/347949
RB,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,K. Drake ,https://sports.yahoo.com/nfl/players/29307,26.63,https://football.fantasysports.yahoo.com/2017/f1/347949
TE,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,E. Engram ,https://sports.yahoo.com/nfl/players/30136,8.75,https://football.fantasysports.yahoo.com/2017/f1/347949
Q/WR/T,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,D. Brees ,https://sports.yahoo.com/nfl/players/5479,17.09,https://football.fantasysports.yahoo.com/2017/f1/347949
DEF,5,4,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,Cincinnati  - DEF ,https://sports.yahoo.com/nfl/teams/cincinnati/,3.00,https://football.fantasysports.yahoo.com/2017/f1/347949
QB,4,5,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,T. Brady ,https://sports.yahoo.com/nfl/players/5228,9.32,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,4,5,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,S. Diggs ,https://sports.yahoo.com/nfl/players/28534,11.00,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,4,5,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,A. Jeffery ,https://sports.yahoo.com/nfl/players/25755,15.00,https://football.fantasysports.yahoo.com/2017/f1/347949
WR,4,5,https://football.fantasysports.yahoo.com/2017/f1/347949/matchup?mid1=5&mid2=4&week=14,T. Hilton ,https://sports.yahoo.com/nfl/players/25802,3.50,https://football.fantasysports.yahoo.com/2017/f1/347949
