,player_name,position,player_url,position_rank
0,Patrick Mahomes,QB,https://sports.yahoo.com/nfl/players/30123,1
1,Matt Ryan,QB,https://sports.yahoo.com/nfl/players/8780,2
2,Ben Roethlisberger,QB,https://sports.yahoo.com/nfl/players/6770,3
3,Andrew Luck,QB,https://sports.yahoo.com/nfl/players/25711,5
4,Deshaun Watson,QB,https://sports.yahoo.com/nfl/players/30125,6
5,Jared Goff,QB,https://sports.yahoo.com/nfl/players/29235,9
6,Aaron Rodgers,QB,https://sports.yahoo.com/nfl/players/7200,10
7,Drew Brees,QB,https://sports.yahoo.com/nfl/players/5479,12
8,Russell Wilson,QB,https://sports.yahoo.com/nfl/players/25785,13
9,Philip Rivers,QB,https://sports.yahoo.com/nfl/players/6763,14
10,Cam Newton,QB,https://sports.yahoo.com/nfl/players/24788,15
11,Dak Prescott,QB,https://sports.yahoo.com/nfl/players/29369,16
12,Kirk Cousins,QB,https://sports.yahoo.com/nfl/players/25812,17
13,Tom Brady,QB,https://sports.yahoo.com/nfl/players/5228,18
14,Mitch Trubisky,QB,https://sports.yahoo.com/nfl/players/30115,22
15,Baker Mayfield,QB,https://sports.yahoo.com/nfl/players/30971,26
16,Eli Manning,QB,https://sports.yahoo.com/nfl/players/6760,29
17,Case Keenum,QB,https://sports.yahoo.com/nfl/players/26483,36
18,Derek Carr,QB,https://sports.yahoo.com/nfl/players/27564,37
19,Matthew Stafford,QB,https://sports.yahoo.com/nfl/players/9265,38
20,Josh Allen,QB,https://sports.yahoo.com/nfl/players/30977,43
21,Jameis Winston,QB,https://sports.yahoo.com/nfl/players/28389,48
22,Carson Wentz,QB,https://sports.yahoo.com/nfl/players/29236,52
23,Andy Dalton,QB,https://sports.yahoo.com/nfl/players/24822,60
24,Blake Bortles,QB,https://sports.yahoo.com/nfl/players/27531,62
0,Marcus Mariota,QB,https://sports.yahoo.com/nfl/players/28390,63
1,Sam Darnold,QB,https://sports.yahoo.com/nfl/players/30973,64
2,Ryan Fitzpatrick,QB,https://sports.yahoo.com/nfl/players/7426,69
3,Lamar Jackson,QB,https://sports.yahoo.com/nfl/players/31002,79
4,Ryan Tannehill,QB,https://sports.yahoo.com/nfl/players/25718,88
5,Joe Flacco,QB,https://sports.yahoo.com/nfl/players/8795,104
6,Alex Smith,QB,https://sports.yahoo.com/nfl/players/7177,105
7,Nick Mullens,QB,https://sports.yahoo.com/nfl/players/30563,114
8,Josh Rosen,QB,https://sports.yahoo.com/nfl/players/30980,131
9,Jeff Driskel,QB,https://sports.yahoo.com/nfl/players/29441,224
10,C.J. Beathard,QB,https://sports.yahoo.com/nfl/players/30217,241
11,Nick Foles,QB,https://sports.yahoo.com/nfl/players/25798,245
12,Brock Osweiler,QB,https://sports.yahoo.com/nfl/players/25767,258
13,Josh Johnson,QB,https://sports.yahoo.com/nfl/players/8937,305
14,Jimmy Garoppolo,QB,https://sports.yahoo.com/nfl/players/27590,320
15,Tyrod Taylor,QB,https://sports.yahoo.com/nfl/players/24967,336
16,Cody Kessler,QB,https://sports.yahoo.com/nfl/players/29327,346
17,Blaine Gabbert,QB,https://sports.yahoo.com/nfl/players/24797,356
18,Taysom Hill,QB,https://sports.yahoo.com/nfl/players/30614,375
19,Chase Daniel,QB,https://sports.yahoo.com/nfl/players/9678,382
20,Colt McCoy,QB,https://sports.yahoo.com/nfl/players/24060,394
21,Kyle Allen,QB,https://sports.yahoo.com/nfl/players/31301,408
22,Josh McCown,QB,https://sports.yahoo.com/nfl/players/5967,413
23,Nathan Peterman,QB,https://sports.yahoo.com/nfl/players/30284,428
24,Matt Barkley,QB,https://sports.yahoo.com/nfl/players/26721,443
0,Taylor Heinicke,QB,https://sports.yahoo.com/nfl/players/28839,444
1,Sam Bradford,QB,https://sports.yahoo.com/nfl/players/23976,445
2,Mike Glennon,QB,https://sports.yahoo.com/nfl/players/26696,482
3,Derek Anderson,QB,https://sports.yahoo.com/nfl/players/7389,486
4,Teddy Bridgewater,QB,https://sports.yahoo.com/nfl/players/27560,500
5,DeShone Kizer,QB,https://sports.yahoo.com/nfl/players/30165,508
6,Nate Sudfeld,QB,https://sports.yahoo.com/nfl/players/29421,540
7,Mark Sanchez,QB,https://sports.yahoo.com/nfl/players/9269,551
8,Matt Cassel,QB,https://sports.yahoo.com/nfl/players/7406,565
9,Joe Webb III,QB,https://sports.yahoo.com/nfl/players/24175,572
10,Joshua Dobbs,QB,https://sports.yahoo.com/nfl/players/30248,579
11,Garrett Gilbert,QB,https://sports.yahoo.com/nfl/players/27742,587
12,Chad Henne,QB,https://sports.yahoo.com/nfl/players/8834,590
13,Robert Griffin III,QB,https://sports.yahoo.com/nfl/players/25712,603
14,Matt Schaub,QB,https://sports.yahoo.com/nfl/players/6849,610
15,AJ McCarron,QB,https://sports.yahoo.com/nfl/players/27692,613
16,Sean Mannion,QB,https://sports.yahoo.com/nfl/players/28477,614
17,Drew Stanton,QB,https://sports.yahoo.com/nfl/players/8297,618
18,Ryan Mallett,QB,https://sports.yahoo.com/nfl/players/24861,633
19,Matt Moore,QB,https://sports.yahoo.com/nfl/players/8544,640
20,T.J. Yates,QB,https://sports.yahoo.com/nfl/players/24939,641
21,Paxton Lynch,QB,https://sports.yahoo.com/nfl/players/29260,654
22,Scott Tolzien,QB,https://sports.yahoo.com/nfl/players/25171,655
