,player_name,position,player_url,score
0,Josh Allen,QB,https://sports.yahoo.com/nfl/players/30977,435.7
1,Jalen Hurts,QB,https://sports.yahoo.com/nfl/players/32723,395.4
2,Dak Prescott,QB,https://sports.yahoo.com/nfl/players/29369,388.0
3,Lamar Jackson,QB,https://sports.yahoo.com/nfl/players/31002,368.0
4,Jordan Love,QB,https://sports.yahoo.com/nfl/players/32696,360.65
5,Brock Purdy,QB,https://sports.yahoo.com/nfl/players/34218,338.4
6,Jared Goff,QB,https://sports.yahoo.com/nfl/players/29235,334.85
7,Patrick Mahomes,QB,https://sports.yahoo.com/nfl/players/30123,322.05
8,C.J. Stroud,QB,https://sports.yahoo.com/nfl/players/40030,316.6
9,Tua Tagovailoa,QB,https://sports.yahoo.com/nfl/players/32675,316.6
10,Baker Mayfield,QB,https://sports.yahoo.com/nfl/players/30971,314.5
11,Trevor Lawrence,QB,https://sports.yahoo.com/nfl/players/33389,302.7
12,Sam Howell,QB,https://sports.yahoo.com/nfl/players/34100,296.6
13,Russell Wilson,QB,https://sports.yahoo.com/nfl/players/25785,287.6
14,Matthew Stafford,QB,https://sports.yahoo.com/nfl/players/9265,282.75
15,Derek Carr,QB,https://sports.yahoo.com/nfl/players/27564,279.9
16,Justin Herbert,QB,https://sports.yahoo.com/nfl/players/32676,265.25
17,Geno Smith,QB,https://sports.yahoo.com/nfl/players/26662,262.95
18,Justin Fields,QB,https://sports.yahoo.com/nfl/players/33399,255.8
19,Gardner Minshew II,QB,https://sports.yahoo.com/nfl/players/32010,229.25
20,Joshua Dobbs,QB,https://sports.yahoo.com/nfl/players/30248,225.3
21,Desmond Ridder,QB,https://sports.yahoo.com/nfl/players/34030,204.85
22,Bryce Young,QB,https://sports.yahoo.com/nfl/players/40029,185.15
23,Kirk Cousins,QB,https://sports.yahoo.com/nfl/players/25812,173.05
24,Joe Burrow,QB,https://sports.yahoo.com/nfl/players/32671,170.25
0,Kyler Murray,QB,https://sports.yahoo.com/nfl/players/31833,164.35
1,Jake Browning,QB,https://sports.yahoo.com/nfl/players/32138,163.13
2,Aidan O'Connell,QB,https://sports.yahoo.com/nfl/players/40138,148.0
3,Zach Wilson,QB,https://sports.yahoo.com/nfl/players/33390,142.65
4,Kenny Pickett,QB,https://sports.yahoo.com/nfl/players/33975,130.9
5,Mac Jones,QB,https://sports.yahoo.com/nfl/players/33403,127.6
6,Will Levis,QB,https://sports.yahoo.com/nfl/players/40068,120.1
7,Joe Flacco,QB,https://sports.yahoo.com/nfl/players/8795,117.0
8,Tommy DeVito,QB,https://sports.yahoo.com/nfl/players/40533,104.55
9,Tyrod Taylor,QB,https://sports.yahoo.com/nfl/players/24967,100.75
10,Deshaun Watson,QB,https://sports.yahoo.com/nfl/players/30125,97.95
11,Ryan Tannehill,QB,https://sports.yahoo.com/nfl/players/25718,96.2
12,Bailey Zappe,QB,https://sports.yahoo.com/nfl/players/34093,81.9
13,Nick Mullens,QB,https://sports.yahoo.com/nfl/players/30563,79.8
14,Easton Stick,QB,https://sports.yahoo.com/nfl/players/31998,78.85
15,Anthony Richardson,QB,https://sports.yahoo.com/nfl/players/40040,78.45
16,Jimmy Garoppolo,QB,https://sports.yahoo.com/nfl/players/27590,76.15
17,Taylor Heinicke,QB,https://sports.yahoo.com/nfl/players/28839,74.9
18,Daniel Jones,QB,https://sports.yahoo.com/nfl/players/31838,66.05
19,Tyson Bagent,QB,https://sports.yahoo.com/nfl/players/40504,61.85
20,Mitchell Trubisky,QB,https://sports.yahoo.com/nfl/players/30115,55.0
21,Mason Rudolph,QB,https://sports.yahoo.com/nfl/players/31046,46.75
22,Drew Lock,QB,https://sports.yahoo.com/nfl/players/31874,34.55
