,player,player_url,position,score,manager_id,opponent_id,matchup_url,manager,league_url
0,T. Tagovailoa,https://sports.yahoo.com/nfl/players/32675,QB,31.8,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
1,A. Brown,https://sports.yahoo.com/nfl/players/31883,WR,13.38,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
2,C. Ridley,https://sports.yahoo.com/nfl/players/30996,WR,22.63,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
3,M. Williams,https://sports.yahoo.com/nfl/players/30120,WR,7.63,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
4,D. Henry,https://sports.yahoo.com/nfl/players/29279,RB,14.3,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
5,S. Barkley,https://sports.yahoo.com/nfl/players/30972,RB,8.1,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
6,K. Pitts,https://sports.yahoo.com/nfl/players/33392,TE,6.5,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
7,J. Mixon,https://sports.yahoo.com/nfl/players/30161,RB,9.23,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
8,B. Purdy,https://sports.yahoo.com/nfl/players/34218,QB,19,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
9,Atlanta,https://sports.yahoo.com/nfl/teams/atlanta/,DEF,20,1,4,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=1&mid1=1&mid2=4,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
0,T. Tagovailoa,https://sports.yahoo.com/nfl/players/32675,QB,14.75,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
1,A. Brown,https://sports.yahoo.com/nfl/players/31883,WR,5.63,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
2,C. Ridley,https://sports.yahoo.com/nfl/players/30996,WR,5,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
3,M. Williams,https://sports.yahoo.com/nfl/players/30120,WR,14.68,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
4,D. Henry,https://sports.yahoo.com/nfl/players/29279,RB,17.38,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
5,S. Barkley,https://sports.yahoo.com/nfl/players/30972,RB,24.93,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
6,K. Pitts,https://sports.yahoo.com/nfl/players/33392,TE,2.88,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
7,J. Mixon,https://sports.yahoo.com/nfl/players/30161,RB,12.4,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
8,B. Purdy,https://sports.yahoo.com/nfl/players/34218,QB,16.8,1,5,https://football.fantasysports.yahoo.com//f1/199957/matchup?week=2&mid1=1&mid2=5,ImJACKEDtoThePITTS,https://football.fantasysports.yahoo.com/2023/f1/199957
