position,manager_id,opponent_id,matchup_url,player,player_url,player_id,score,league_url,league_id,manager_key
QB,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,T. Brady ,https://sports.yahoo.com/nfl/players/5228,5228,0,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
WR,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,R. Moss ,https://sports.yahoo.com/nfl/players/4262,4262,3,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
WR,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,A. Johnson ,https://sports.yahoo.com/nfl/players/6339,6339,10,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
WR,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,B. Engram ,https://sports.yahoo.com/nfl/players/3512,3512,4,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
RB,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,J. Lewis ,https://sports.yahoo.com,,8,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
RB,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,M. Jones-Drew ,https://sports.yahoo.com/nfl/players/7809,7809,4,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
TE,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,D. Lee ,https://sports.yahoo.com/nfl/players/6492,6492,6,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
K,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,M. Crosby ,https://sports.yahoo.com/nfl/players/8447,8447,19,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
DEF,6,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-chargers/,la-chargers,19,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.6
QB,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,D. Brees ,https://sports.yahoo.com/nfl/players/5479,5479,18,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
WR,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,R. Wayne ,https://sports.yahoo.com/nfl/players/5477,5477,3,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
WR,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,J. Galloway ,https://sports.yahoo.com/nfl/players/3135,3135,0,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
WR,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,L. Fitzgerald ,https://sports.yahoo.com/nfl/players/6762,6762,7,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
RB,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,A. Peterson ,https://sports.yahoo.com/nfl/players/8261,8261,15,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
RB,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,R. Grant ,https://sports.yahoo.com/nfl/players/7635,7635,6,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
TE,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,H. Miller ,https://sports.yahoo.com/nfl/players/7206,7206,7,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
K,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,S. Graham ,https://sports.yahoo.com/nfl/players/5854,5854,7,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
DEF,5,6,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=6&mid2=5&week=15,Minnesota  - DEF ,https://sports.yahoo.com/nfl/teams/minnesota/,minnesota,7,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
QB,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,P. Manning ,https://sports.yahoo.com/nfl/players/4256,4256,9,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
WR,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,T. Houshmandzadeh ,https://sports.yahoo.com/nfl/players/5652,5652,3,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
WR,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,P. Burress ,https://sports.yahoo.com/nfl/players/5037,5037,1,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
WR,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,S. Smith Sr. ,https://sports.yahoo.com/nfl/players/5521,5521,3,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
RB,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,S. Jackson ,https://sports.yahoo.com/nfl/players/6783,6783,14,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
RB,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,C. Portis ,https://sports.yahoo.com/nfl/players/5937,5937,12,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
TE,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,D. Clark ,https://sports.yahoo.com/nfl/players/6360,6360,0,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
K,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,J. Brown ,https://sports.yahoo.com/nfl/players/6558,6558,4,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
DEF,3,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,New England  - DEF ,https://sports.yahoo.com/nfl/teams/new-england/,new-england,21,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.3
QB,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,K. Warner ,https://sports.yahoo.com,,18,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
WR,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,M. Colston ,https://sports.yahoo.com/nfl/players/8001,8001,11,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
WR,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,T. Holt ,https://sports.yahoo.com/nfl/players/4654,4654,7,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
WR,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,L. Evans ,https://sports.yahoo.com/nfl/players/6772,6772,1,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
RB,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,J. Addai ,https://sports.yahoo.com/nfl/players/7779,7779,5,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
RB,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,B. Westbrook ,https://sports.yahoo.com/nfl/players/5977,5977,7,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
TE,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,A. Gates ,https://sports.yahoo.com/nfl/players/6663,6663,0,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
K,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,S. Gostkowski ,https://sports.yahoo.com/nfl/players/7867,7867,8,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
DEF,2,3,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=3&mid2=2&week=15,Green Bay  - DEF ,https://sports.yahoo.com/nfl/teams/green-bay/,green-bay,9,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
QB,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,D. Brees ,https://sports.yahoo.com/nfl/players/5479,5479,3,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
WR,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,R. Wayne ,https://sports.yahoo.com/nfl/players/5477,5477,11,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
WR,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,L. Fitzgerald ,https://sports.yahoo.com/nfl/players/6762,6762,3,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
WR,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,D. Branch ,https://sports.yahoo.com/nfl/players/5951,5951,1,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
RB,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,A. Peterson ,https://sports.yahoo.com/nfl/players/8261,8261,2,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
RB,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,R. Grant ,https://sports.yahoo.com/nfl/players/7635,7635,11,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
TE,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,H. Miller ,https://sports.yahoo.com/nfl/players/7206,7206,0,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
K,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,S. Graham ,https://sports.yahoo.com/nfl/players/5854,5854,7,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
DEF,5,2,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,Minnesota  - DEF ,https://sports.yahoo.com/nfl/teams/minnesota/,minnesota,1,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.5
QB,2,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,K. Warner ,https://sports.yahoo.com,,25,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
WR,2,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,M. Colston ,https://sports.yahoo.com/nfl/players/8001,8001,0,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
WR,2,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,T. Holt ,https://sports.yahoo.com/nfl/players/4654,4654,2,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
WR,2,5,https://football.fantasysports.yahoo.com/2007/f1/580505/matchup?mid1=5&mid2=2&week=16,L. Evans ,https://sports.yahoo.com/nfl/players/6772,6772,8,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.2
