original sort,content,contains date,len,Type,Group ID
1,Kimani Vidal,#VALUE!,12,Player name,1
2,Kimani Vidal waived by Chargers,#VALUE!,31,Headline / Summary,1
3,"Tue, Aug 26th 10:12pm EDT",22,,Date,1
4,Kimani Vidal has been waived by the Los Angeles Chargers. (Source: Chargers Communications),#VALUE!,91,Headline / Summary,1
5,"Fantasy Impact: The Chargers released several running backs on Tuesday, including Vidal, but kept Najee Harris (eye) on their active roster for Week 1, indicating that he may be close to a full return to action. As for Vidal, he remains unlikely to make an impact anywhere this season.",#VALUE!,,Fantasy Impact,1
6,Category: Transactions,#VALUE!,,Category,1
7,Nyheim Miller-Hines,#VALUE!,19,Player name,2
8,Nyheim Miller-Hines cut by Chargers,#VALUE!,35,Headline / Summary,2
9,"Tue, Aug 26th 10:10pm EDT",22,,Date,2
10,Nyheim Miller-Hines has been cut by the Los Angeles Chargers. (Source: Chargers Communications),#VALUE!,95,Headline / Summary,2
11,"Fantasy Impact: To no surprise, Miller-Hines has been cut before the start of the regular season for the Chargers. He was always a long shot to make the roster, but the fact that he didn't make the team paired with Najee Harris starting on the active roster suggests that the latter may be ready to play sooner rather than later for the team.",#VALUE!,,Fantasy Impact,2
12,Category: Transactions,#VALUE!,,Category,2
13,Jalen Reagor,#VALUE!,12,Player name,3
14,Jalen Reagor released by Chargers,#VALUE!,33,Headline / Summary,3
15,"Tue, Aug 26th 10:07pm EDT",22,,Date,3
16,Jalen Reagor has been released by the Los Angeles Chargers. (Source: Chargers Communications),#VALUE!,93,Headline / Summary,3
17,"Fantasy Impact: The Chargers made a number of roster cuts on Tuesday, and Reagor was one of the players who didn't make the 53-man roster for the regular season. He may end up back with the team on the practice squad and remains irrelevant for fantasy purposes.",#VALUE!,,Fantasy Impact,3
18,Category: Transactions,#VALUE!,,Category,3
19,Taylor Heinicke,#VALUE!,15,Player name,4
20,Taylor Heinicke released by Chargers,#VALUE!,36,Headline / Summary,4
21,"Tue, Aug 26th 10:06pm EDT",22,,Date,4
22,Taylor Heinicke has been released by the Los Angeles Chargers. (Source: Chargers Communications),#VALUE!,96,Headline / Summary,4
23,"Fantasy Impact: The veteran quarterback did not make the active roster for the Chargers, meaning that Trey Lance will be their backup quarterback heading into the regular season. It remains to be seen whether or not the veteran will land somewhere else this year.",#VALUE!,,Fantasy Impact,4
24,Category: Transactions,#VALUE!,,Category,4
25,Kaleb McGary,#VALUE!,12,Player name,5
26,Kaleb McGary (knee) to miss entire season,#VALUE!,41,Headline / Summary,5
27,"Tue, Aug 26th 10:04pm EDT",22,,Date,5
28,Kaleb McGary (knee) will miss the entire season after being placed on injured reserve. (Source: Mike Garafolo on Twitter),#VALUE!,121,Headline / Summary,5
29,"Fantasy Impact: The Falcons placed McGary on injured reserve on Tuesday with no designation to return, meaning that he will be sidelined for the entire season as he recovers. This is a tough blow for Atlanta, as their offensive line was hoped to be one of the best in the league this year. The loss of a key starter like this may make efficiency a bit harder for Michael Penix Jr. and Bijan Robinson throughout the season.",#VALUE!,,Fantasy Impact,5
30,Category: Injury Updates,#VALUE!,,Category,5
31,Walter Nolen III,#VALUE!,16,Player name,6
32,Walter Nolen III (calf) placed on PUP list,#VALUE!,42,Headline / Summary,6
33,"Tue, Aug 26th 6:02pm EDT",21,,Date,6
34,The Cardinals placed Walter Nolen III on the PUP list.,#VALUE!,54,Headline / Summary,6
35,Fantasy Impact: Nolen was the No. 16 overall pick in this year's draft by Arizona. He has been sidelined with a calf injury since the start of camp and will now miss the start of the season.,#VALUE!,,Fantasy Impact,6
36,Category: Injury Updates,#VALUE!,,Category,6
37,MarShawn Lloyd,#VALUE!,14,Player name,7
38,MarShawn Lloyd (hamstring) placed on IR,#VALUE!,39,Headline / Summary,7
39,"Tue, Aug 26th 6:00pm EDT",21,,Date,7
40,The Packers placed RB MarShawn Lloyd on injured reserve.,#VALUE!,56,Headline / Summary,7
41,Fantasy Impact: Lloyd will miss at least the first four games of the season. Emanuel Wilson and Chris Brooks will see snaps behind Josh Jacobs.,#VALUE!,,Fantasy Impact,7
42,Category: Injury Updates,#VALUE!,,Category,7
43,Jason Sanders,#VALUE!,13,Player name,8
44,Jason Sanders (hip) placed on IR,#VALUE!,32,Headline / Summary,8
45,"Tue, Aug 26th 5:58pm EDT",21,,Date,8
46,The Dolphins placed Jason Sanders on injured reserve.,#VALUE!,53,Headline / Summary,8
47,Fantasy Impact: Sanders will miss the first four games of the season. Miami has worked out several kickers as they look for a new one to start the season.,#VALUE!,,Fantasy Impact,8
48,Category: Injury Updates,#VALUE!,,Category,8
49,Trey Sermon,#VALUE!,11,Player name,9
50,Trey Sermon released by Steelers,#VALUE!,32,Headline / Summary,9
51,"Tue, Aug 26th 5:57pm EDT",21,,Date,9
52,The Steelers released RB Trey Sermon.,#VALUE!,37,Headline / Summary,9
53,Fantasy Impact: Sermon had signed a deal with Pittsburgh back in May. He'll likely seek another opportunity in a depth role.,#VALUE!,,Fantasy Impact,9
54,Category: Transactions,#VALUE!,,Category,9
55,Brandon Aiyuk,#VALUE!,13,Player name,10
56,Brandon Aiyuk (knee) placed on PUP list,#VALUE!,39,Headline / Summary,10
57,"Tue, Aug 26th 5:18pm EDT",21,,Date,10
58,The 49ers placed WR Brandon Aiyuk on the PUP list. (Source: Adam Schefter on Twitter),#VALUE!,85,Headline / Summary,10
59,Fantasy Impact: This should come as no surprise to anyone as Aiyuk continues to work his way back from the season-ending injuries he suffered last year. He is reportedly targeting a Week 6 return.,#VALUE!,,Fantasy Impact,10
60,Category: Injury Updates,#VALUE!,,Category,10
61,Dillon Gabriel,#VALUE!,14,Player name,11
62,Dillon Gabriel named Browns backup quarterback,#VALUE!,46,Headline / Summary,11
63,"Tue, Aug 26th 5:15pm EDT",21,,Date,11
64,Browns coach Kevin Stefanski named Dillon Gabriel as the teams backup quarterback. (Source: Mary Kay Cabot on Twitter),#VALUE!,118,Headline / Summary,11
65,Fantasy Impact: This was the expectation after Cleveland traded Kenny Pickett to the Raiders. It will be Joe Flacco opening the season as the starter with Shedeur Sanders serving as the emergency third quarterback for Cleveland.,#VALUE!,,Fantasy Impact,11
66,Jalen Brooks,#VALUE!,12,Player name,12
67,Jalen Brooks released by Cowboys,#VALUE!,32,Headline / Summary,12
68,"Tue, Aug 26th 4:21pm EDT",21,,Date,12
69,The Cowboys released WR Jalen Brooks. (Source: Calvin Watkins on Twitter),#VALUE!,73,Headline / Summary,12
70,Fantasy Impact: Brooks was unable to make the Cowboys 53-man roster. He'll seek an opportunity on a practice squad.,#VALUE!,,Fantasy Impact,12
71,Category: Transactions,#VALUE!,,Category,12
72,Solomon Byrd,#VALUE!,12,Player name,13
73,Solomon Byrd waived by Texans,#VALUE!,29,Headline / Summary,13
74,"Tue, Aug 26th 4:20pm EDT",21,,Date,13
75,The Texans waived DE Solomon Byrd. (Source: Jonathan M Alexander on Twitter),#VALUE!,76,Headline / Summary,13
76,Fantasy Impact: Byrd was unable to make the Texans 53-man roster. He'll seek an opportunity on a practice squad.,#VALUE!,,Fantasy Impact,13
77,Category: Transactions,#VALUE!,,Category,13
78,Zach Triner,#VALUE!,11,Player name,14
79,Zach Triner released by Seahawks,#VALUE!,32,Headline / Summary,14
80,"Tue, Aug 26th 4:18pm EDT",21,,Date,14
