player,date,headline,fantasy_impact,category
Kimani Vidal,"Tue, Aug 26th 10:12pm EDT",Kimani Vidal has been waived by the Los Angeles Chargers. (Source: Chargers Communications),"Fantasy Impact: The Chargers released several running backs on Tuesday, including Vidal, but kept Najee Harris (eye) on their active roster for Week 1, indicating that he may be close to a full return to action. As for Vidal, he remains unlikely to make an impact anywhere this season.",Category: Transactions
Nyheim Miller-Hines,"Tue, Aug 26th 10:10pm EDT",Nyheim Miller-Hines has been cut by the Los Angeles Chargers. (Source: Chargers Communications),"Fantasy Impact: To no surprise, Miller-Hines has been cut before the start of the regular season for the Chargers. He was always a long shot to make the roster, but the fact that he didn't make the team paired with Najee Harris starting on the active roster suggests that the latter may be ready to play sooner rather than later for the team.",Category: Transactions
Jalen Reagor,"Tue, Aug 26th 10:07pm EDT",Jalen Reagor has been released by the Los Angeles Chargers. (Source: Chargers Communications),"Fantasy Impact: The Chargers made a number of roster cuts on Tuesday, and Reagor was one of the players who didn't make the 53-man roster for the regular season. He may end up back with the team on the practice squad and remains irrelevant for fantasy purposes.",Category: Transactions
Taylor Heinicke,"Tue, Aug 26th 10:06pm EDT",Taylor Heinicke has been released by the Los Angeles Chargers. (Source: Chargers Communications),"Fantasy Impact: The veteran quarterback did not make the active roster for the Chargers, meaning that Trey Lance will be their backup quarterback heading into the regular season. It remains to be seen whether or not the veteran will land somewhere else this year.",Category: Transactions
Kaleb McGary,"Tue, Aug 26th 10:04pm EDT",Kaleb McGary (knee) will miss the entire season after being placed on injured reserve. (Source: Mike Garafolo on Twitter),"Fantasy Impact: The Falcons placed McGary on injured reserve on Tuesday with no designation to return, meaning that he will be sidelined for the entire season as he recovers. This is a tough blow for Atlanta, as their offensive line was hoped to be one of the best in the league this year. The loss of a key starter like this may make efficiency a bit harder for Michael Penix Jr. and Bijan Robinson throughout the season.",Category: Injury Updates
Walter Nolen III,"Tue, Aug 26th 6:02pm EDT",The Cardinals placed Walter Nolen III on the PUP list.,Fantasy Impact: Nolen was the No. 16 overall pick in this year's draft by Arizona. He has been sidelined with a calf injury since the start of camp and will now miss the start of the season.,Category: Injury Updates
MarShawn Lloyd,"Tue, Aug 26th 6:00pm EDT",The Packers placed RB MarShawn Lloyd on injured reserve.,Fantasy Impact: Lloyd will miss at least the first four games of the season. Emanuel Wilson and Chris Brooks will see snaps behind Josh Jacobs.,Category: Injury Updates
Jason Sanders,"Tue, Aug 26th 5:58pm EDT",The Dolphins placed Jason Sanders on injured reserve.,Fantasy Impact: Sanders will miss the first four games of the season. Miami has worked out several kickers as they look for a new one to start the season.,Category: Injury Updates
Trey Sermon,"Tue, Aug 26th 5:57pm EDT",The Steelers released RB Trey Sermon.,Fantasy Impact: Sermon had signed a deal with Pittsburgh back in May. He'll likely seek another opportunity in a depth role.,Category: Transactions
Brandon Aiyuk,"Tue, Aug 26th 5:18pm EDT",The 49ers placed WR Brandon Aiyuk on the PUP list. (Source: Adam Schefter on Twitter),Fantasy Impact: This should come as no surprise to anyone as Aiyuk continues to work his way back from the season-ending injuries he suffered last year. He is reportedly targeting a Week 6 return.,Category: Injury Updates
Dillon Gabriel,"Tue, Aug 26th 5:15pm EDT",Browns coach Kevin Stefanski named Dillon Gabriel as the teams backup quarterback. (Source: Mary Kay Cabot on Twitter),Fantasy Impact: This was the expectation after Cleveland traded Kenny Pickett to the Raiders. It will be Joe Flacco opening the season as the starter with Shedeur Sanders serving as the emergency third quarterback for Cleveland.,
Jalen Brooks,"Tue, Aug 26th 4:21pm EDT",The Cowboys released WR Jalen Brooks. (Source: Calvin Watkins on Twitter),Fantasy Impact: Brooks was unable to make the Cowboys 53-man roster. He'll seek an opportunity on a practice squad.,Category: Transactions
Solomon Byrd,"Tue, Aug 26th 4:20pm EDT",The Texans waived DE Solomon Byrd. (Source: Jonathan M Alexander on Twitter),Fantasy Impact: Byrd was unable to make the Texans 53-man roster. He'll seek an opportunity on a practice squad.,Category: Transactions
Zach Triner,"Tue, Aug 26th 4:18pm EDT",The Seahawks released veteran long-snapper Zach Triner. (Source: Brady Henderson on Twitter),Fantasy Impact: Triner signed with the Seahawks earlier in August. He was unable to make the team's 53-man roster.,Category: Transactions
Casey Rogers,"Tue, Aug 26th 4:17pm EDT",The Bills released DT Casey Rogers. (Source: Adam Schefter on Twitter),Fantasy Impact: Rogers was unable to make the Bills 53-man roster. He'll likely seek another opportunity.,Category: Transactions
Hunter Renfrow,"Tue, Aug 26th 4:17pm EDT",Hunter Renfrow has been released by the Carolina Panthers. (Source: Tom Pelissero on Twitter),"Fantasy Impact: Renfrow seemed to have a real chance to make Carolina's active roster to start the season, but they released him as part of their roster cut downs on Tuesday. He could land somewhere else before the start of the season, but fantasy managers shouldn't have high hopes for his outlook for the season.",Category: Transactions
Jakob Johnson,"Tue, Aug 26th 4:15pm EDT",The Texans released fullback Jakob Johnson. (Source: Adam Schefter on Twitter),Fantasy Impact: Johnson was unable to make the Texans 53-man roster. He'll seek another opportunity with a team looking for a fullback.,Category: Transactions
Corey Ballentine,"Tue, Aug 26th 4:14pm EDT",The Packers released CB Corey Ballentine. (Source: Rob Demovsky on Twitter),Fantasy Impact: Ballentine was unable to make the Packers 53-man roster. He'll seek an opportunity on a practice squad.,Category: Transactions
Israel Mukuamu,"Tue, Aug 26th 4:12pm EDT",The Cowboys released DB Israel Mukuamu. (Source: Todd Archer on Twitter),Fantasy Impact: Mukuamu was unable to make the Cowboys 53-man roster. He has appeared in 33 games across the past four seasons.,Category: Transactions
Najee Harris,"Tue, Aug 26th 4:12pm EDT",Najee Harris (eye) will start the season on Los Angeles' active roster. (Source: Ian Rapoport on Twitter),"Fantasy Impact: Harris has been sidelined for all of the preseason so far due to an eye injury that he suffered earlier in the summer. He's going to be on the active roster to start the season, however, which is a positive sign that he may be back sooner rather than later. Whenever he's available to play, his presence will hurt the upside of rookie Omarion Hampton.",Category: Injury Updates
Isaiah Foskey,"Tue, Aug 26th 4:10pm EDT",The Saints waived DE Isaiah Foskey. (Source: Ari Meirov on Twitter),Fantasy Impact: Foskey was unable to make the Saints 53-man roster. He'll seek an opportunity on a practice squad.,Category: Transactions
Boogie Basham Jr.,"Tue, Aug 26th 4:09pm EDT",The Panthers released EDGE Boogie Basham Jr. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Basham was unable to make the Panthers 53-man roster. He'll likely seek another opportunity.,Category: Transactions
Rivaldo Fairweather,"Tue, Aug 26th 4:07pm EDT",The Cowboys waived TE Rivaldo Fairweather. (Source: Joseph Hoyt on Twitter),Fantasy Impact: Fairweather was unable to make the Cowboys 53-man roster. He'll seek an opportunity on a practice squad.,Category: Transactions
Bobby Price,"Tue, Aug 26th 4:06pm EDT",The Commanders released DB Bobby Price. (Source: Nicki Jhabvala on Twitter),Fantasy Impact: Price was unable to make the Commanders 53-man roster. He'll likely seek another opportunity.,Category: Transactions
Damarion Williams,"Tue, Aug 26th 4:04pm EDT",The Seahawks released CB Damarion Williams. (Source: Matt Zenitz on Twitter),Fantasy Impact: Williams was unable to make the Seahawks 53-man roster. He'll seek an opportunity on a practice squad.,Category: Transactions
Chad Muma,"Tue, Aug 26th 4:03pm EDT",The Jaguars released LB Chad Muma. (Source: Ian Rapoport on Twitter),Fantasy Impact: Muma was unable to make the Jaguars 53-man roster. He should get claimed off waivers.,Category: Transactions
Marcus Epps,"Tue, Aug 26th 4:02pm EDT",The Patriots released veteran safety Marcus Epps. (Source: Tom Pelissero on Twitter),Fantasy Impact: Epps signed a deal with New England in free agency. He should be able to find another opportunity.,Category: Transactions
Traeshon Holden,"Tue, Aug 26th 4:00pm EDT",The Cowboys waived WR Traeshon Holden. (Source: Jordan Schultz on Twitter),Fantasy Impact: Holden signed with Dallas as an undrafted free agent. He was unable to make the Cowboys 53-man roster. He could draw some interest on waivers.,Category: Transactions
Rico Payton,"Tue, Aug 26th 3:59pm EDT",The Saints waived DB Rico Payton. (Source: Nick Underhill on Twitter),Fantasy Impact: Payton was unable to make the Saints 53-man roster. He'll seek an opportunity on a practice squad.,Category: Transactions
Marquez Valdes-Scantling,"Tue, Aug 26th 3:51pm EDT",The Seahawks released WR Marquez Valdes-Scantling. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Valdes-Scantling signed a one-year deal with Seattle in free agency. He'll look to land a depth role with another team.,Category: Transactions
Dustin Hopkins,"Tue, Aug 26th 3:49pm EDT",The Browns released K Dustin Hopkins. (Source: Adam Schefter on Twitter),Fantasy Impact: Hopkins will likely seek another opportunity.,Category: Transactions
Spencer Rattler,"Tue, Aug 26th 2:53pm EDT",Spencer Rattler has been named the Saints Week 1 starter against the Arizona Cardinals. (Source: New Orleans Saints on X),"Fantasy Impact: Finally, the Saints QB battle has a winner, at least for now. Rattler and rookie Tyler Shough have been contending for the starting job all offseason, and Rattler has won out. Its tough to project how long he will maintain the starting job, but with Shough showing slow progress at the age of 26, its likely that Rattler might have a slightly longer leash than would be expected. He doesnt project a ton of upside, but he could put up decent streaming numbers in fantasy with the team projected to be behind quite often.",
Levelle Bailey,"Tue, Aug 26th 2:40pm EDT",The Broncos waived LB Levelle Bailey. (Source: Luca Evans on Twitter),Fantasy Impact: Bailey was unable to earn a spot on the Broncos 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Edefuan Ulofoshio,"Tue, Aug 26th 2:39pm EDT",The Bills released LB Edefuan Ulofoshio. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Ulofoshio was a fifth round pick just last year. He recorded six tackles across four games.,Category: Transactions
Eku Leota,"Tue, Aug 26th 2:38pm EDT",The Steelers released LB Eku Leota. (Source: Brooke Pryor on Twitter),Fantasy Impact: Leota was unable to earn a spot on the Steelers 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Simi Fehoko,"Tue, Aug 26th 2:36pm EDT",The Cardinals released WR Simi Fehoko. (Source: Tyler Drake on Twitter),Fantasy Impact: Fehoko was unable to earn a spot on the Cardinals 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Marcellus Johnson,"Tue, Aug 26th 2:35pm EDT",The Colts waived T Marcellus Johnson. (Source: Joel A. Erickson on Twitter),Fantasy Impact: Johnson was unable to earn a spot on the Colts 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Shane Lemieux,"Tue, Aug 26th 2:34pm EDT",The Saints released OL Shane Lemieux. (Source: Nick Underhill on Twitter),Fantasy Impact: Lemieux was unable to earn a spot on the Saints 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Bryan Hudson,"Tue, Aug 26th 2:32pm EDT",The Giants released OL Bryan Hudson. (Source: Jordan Raanan on Twitter),Fantasy Impact: Hudson was unable to earn a spot on the Giants 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Jordan Turner,"Tue, Aug 26th 2:30pm EDT",The Broncos released LB Jordan Turner. (Source: Zac Stevens on Twitter),Fantasy Impact: Turner was unable to earn a spot on the Broncos 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Garret Wallow,"Tue, Aug 26th 2:25pm EDT",The Broncos released WR Garret Wallow. (Source: Zac Stevens on Twitter),Fantasy Impact: Wallow was unable to earn a spot on the Broncos 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Saahdiq Charles,"Tue, Aug 26th 2:24pm EDT",The Cowboys released veteran OL Saahdiq Charles. (Source: Todd Archer on Twitter),Fantasy Impact: Charles came out of retirement this offseason. He could be a practice squad candidate.,Category: Transactions
Keleki Latu,"Tue, Aug 26th 2:23pm EDT",The Bills waived TE Keleki Latu. (Source: Ryan Talbot on Twitter),Fantasy Impact: Latu had signed with Buffalo as an undrafted free agent. He was unable to earn a spot on the Bills 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Clelin Ferrell,"Tue, Aug 26th 2:21pm EDT",The Commanders released DE Clelin Ferrell. (Source: Nicki Jhabvala on Twitter),Fantasy Impact: Ferrell was unable to make the Commanders 53-man roster. He'll likely seek another depth opportunity.,Category: Transactions
Easton Kilty,"Tue, Aug 26th 2:20pm EDT",The Saints waived OL Easton Kilty. (Source: Nick Underhill on Twitter),Fantasy Impact: Kilty was unable to earn a spot on the Saints 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
Xavier Restrepo,"Tue, Aug 26th 2:18pm EDT",The Titans waived WR Xavier Restrepo. (Source: Jordan Schultz on Twitter),Fantasy Impact: Restrepo had signed with the Titans as an undrafted free agent. He'll be a practice squad candidate if he clears waivers.,Category: Transactions
James Proche II,"Tue, Aug 26th 2:03pm EDT",The Titans released WR James Proche II. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Proche had signed with Tennessee back in March. He'll seek another opportunity.,Category: Transactions
Landon Parker,"Tue, Aug 26th 2:02pm EDT",The Colts waived WR Landon Parker. (Source: Joel A. Erickson on Twitter),Fantasy Impact: Parker was unable to earn a spot on the Colts 53-man roster. He'll likely seek a spot on a practice squad.,Category: Transactions
