,Unnamed: 0,team_key,name,rank,playoff_seed,outcome_totals,streak,points_for,points_against,wins,losses,ties,percentage,moves,faab_balance,league_key,team_id,league_id,manager_key,rs_score,diff,p_score,playoff_wins,league_url,season,manager,p_score_revised
0,0,175.l.580505.t.3,The Schwaggerts,1,2.0,"{'wins': '7', 'losses': '6', 'ties': '1', 'percentage': '.536'}","{'type': 'loss', 'value': '3'}",971.0,1013.0,7,6,1,0.536,8,2,175.l.580505,3,580505,580505.3,971.0,0.0,174.0,2,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Patrick,174.0
1,1,175.l.580505.t.6,Free Win,2,1.0,"{'wins': '11', 'losses': '2', 'ties': '1', 'percentage': '.821'}","{'type': 'win', 'value': '2'}",1098.0,860.0,11,2,1,0.821,31,1,175.l.580505,6,580505,580505.6,1098.0,0.0,151.0,1,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Duncan,151.0
2,2,175.l.580505.t.2,Lukedog,3,3.0,"{'wins': '7', 'losses': '6', 'ties': '1', 'percentage': '.536'}","{'type': 'win', 'value': '2'}",914.0,1055.0,7,6,1,0.536,36,0,175.l.580505,2,580505,580505.2,914.0,0.0,117.0,1,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Luke,117.0
3,3,175.l.580505.t.5,Purple Rain,4,4.0,"{'wins': '5', 'losses': '8', 'ties': '1', 'percentage': '.393'}","{'type': 'loss', 'value': '2'}",964.0,1010.0,5,8,1,0.393,20,1,175.l.580505,5,580505,580505.5,964.0,0.0,109.0,0,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Kevin,109.0
4,4,175.l.580505.t.1,Philadelphia Freedom,5,6.0,"{'wins': '5', 'losses': '9', 'ties': 0, 'percentage': '.357'}","{'type': 'win', 'value': '1'}",973.0,1035.0,5,9,0,0.357,16,0,175.l.580505,1,580505,580505.1,973.0,0.0,68.0,1,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Ryan,
5,5,175.l.580505.t.4,The Phenomenators,6,5.0,"{'wins': '5', 'losses': '9', 'ties': 0, 'percentage': '.357'}","{'type': 'loss', 'value': '1'}",1201.0,1148.0,5,9,0,0.357,14,2,175.l.580505,4,580505,580505.4,1201.0,0.0,66.0,0,https://football.fantasysports.yahoo.com/2007/f1/580505,2007,Mark,
6,6,222.l.790872.t.3,571itsgoindown,1,4.0,"{'wins': '6', 'losses': '6', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '4'}",1197.28,1210.64,6,6,0,0.5,11,0,222.l.790872,3,790872,790872.3,1197.28,0.0,343.36,3,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Luke,343.36
7,7,222.l.790872.t.4,Nashville Stranglers,2,3.0,"{'wins': '7', 'losses': '5', 'ties': 0, 'percentage': '.583'}","{'type': 'win', 'value': '2'}",1152.02,1083.16,7,5,0,0.583,19,0,222.l.790872,4,790872,790872.4,1152.02,0.0,326.3,2,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Stuart,326.3
8,8,222.l.790872.t.6,BeadsMeOff,3,2.0,"{'wins': '7', 'losses': '5', 'ties': 0, 'percentage': '.583'}","{'type': 'loss', 'value': '1'}",1203.88,1112.64,7,5,0,0.583,27,0,222.l.790872,6,790872,790872.6,1203.88,0.0,181.38,1,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Duncan,181.38
9,9,222.l.790872.t.2,EveryoneIsGayButMe,4,1.0,"{'wins': '8', 'losses': '4', 'ties': 0, 'percentage': '.667'}","{'type': 'win', 'value': '6'}",1242.24,1139.08,8,4,0,0.667,12,1,222.l.790872,2,790872,790872.2,1242.24,0.0,156.24,0,https://football.fantasysports.yahoo.com/2009/f1/790872,2009,Patrick,156.24
