player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort,season
Mike Wallace,https://sports.yahoo.com/nfl/players/9348,WR,$2 Winning Offer,"[[""Kareem'd my Pants"", 'https://football.fantasysports.yahoo.com/2017/f1/347949/6', '$1 (Lower Offer)']]",Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Dec 20, 4:20 am",1,2,"Mike WallaceGolladayumDec 20, 4:20 am2",2017
Dede Westbrook,https://sports.yahoo.com/nfl/players/30223,WR,$5 Winning Offer,"[['Golladayum', 'https://football.fantasysports.yahoo.com/2017/f1/347949/3', '$2 (Lower Offer)']]",Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Dec 20, 4:20 am",1,5,"Dede WestbrookKareem'd my PantsDec 20, 4:20 am5",2017
Nick Foles,https://sports.yahoo.com/nfl/players/25798,QB,$3 Winning Offer,"[['The Juice Is Loose', 'https://football.fantasysports.yahoo.com/2017/f1/347949/10', '$2 (Lower Offer)']]",Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Dec 13, 4:13 am",1,3,"Nick FolesMagic Skol BusDec 13, 4:13 am3",2017
New Orleans,https://sports.yahoo.com/nfl/teams/new-orleans/,DEF,$18 Winning Offer,"[['CantStopWontStop', 'https://football.fantasysports.yahoo.com/2017/f1/347949/5', '$10 (Lower Offer)']]",Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Dec 13, 4:13 am",1,18,"New OrleansKareem'd my PantsDec 13, 4:13 am18",2017
Mike Davis,https://sports.yahoo.com/nfl/players/28514,RB,$18 Winning Offer,"[['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$2 (Lower Offer)']]",Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Dec 6, 4:14 am",1,18,"Mike DavisFetty WattDec 6, 4:14 am18",2017
Kenyan Drake,https://sports.yahoo.com/nfl/players/29307,RB,$18 Winning Offer,"[['Golladayum', 'https://football.fantasysports.yahoo.com/2017/f1/347949/3', '$7 (Lower Offer)'], ['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$5 (Lower Offer)'], ['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$1 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2017/f1/347949/5,"Nov 29, 4:38 am",1,18,"Kenyan DrakeCantStopWontStopNov 29, 4:38 am18",2017
Jamaal Williams,https://sports.yahoo.com/nfl/players/30247,RB,$15 Winning Offer,"[[""Kareem'd my Pants"", 'https://football.fantasysports.yahoo.com/2017/f1/347949/6', '$10 (Lower Offer)'], ['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$5 (Lower Offer)']]",UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Nov 29, 4:38 am",1,15,"Jamaal WilliamsUGotAnyGamesOnUrPhonNov 29, 4:38 am15",2017
Corey Davis,https://sports.yahoo.com/nfl/players/30118,WR,$1 Winning Offer,"[['Fetty Watt', 'https://football.fantasysports.yahoo.com/2017/f1/347949/8', '$1 (Lower waiver priority)']]",Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Nov 22, 4:20 am",1,1,"Corey DavisMagic Skol BusNov 22, 4:20 am1",2017
Kenny Stills,https://sports.yahoo.com/nfl/players/26767,WR,$6 Winning Offer,"[['The Juice Is Loose', 'https://football.fantasysports.yahoo.com/2017/f1/347949/10', '$0 (Lower Offer)']]",Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Nov 22, 4:20 am",1,6,"Kenny StillsFetty WattNov 22, 4:20 am6",2017
Josh Doctson,https://sports.yahoo.com/nfl/players/29256,WR,$8 Winning Offer,"[['Magic Skol Bus', 'https://football.fantasysports.yahoo.com/2017/f1/347949/9', '$1 (Lower Offer)']]",The Juice Is Loose,https://football.fantasysports.yahoo.com/2017/f1/347949/10,"Nov 22, 4:20 am",1,8,"Josh DoctsonThe Juice Is LooseNov 22, 4:20 am8",2017
Eli Manning,https://sports.yahoo.com/nfl/players/6760,QB,$1 Winning Offer,"[['Dezspacito', 'https://football.fantasysports.yahoo.com/2017/f1/347949/2', '$1 (Lower waiver priority)']]",Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Nov 16, 4:04 am",1,1,"Eli ManningFetty WattNov 16, 4:04 am1",2017
Jared Cook,https://sports.yahoo.com/nfl/players/9353,TE,$14 Winning Offer,"[['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$4 (Lower Offer)'], ['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$4 (Lower Offer)'], ['Magic Skol Bus', 'https://football.fantasysports.yahoo.com/2017/f1/347949/9', '$2 (Lower Offer)']]",Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Nov 15, 4:47 am",1,14,"Jared CookGolladayumNov 15, 4:47 am14",2017
Danny Woodhead,https://sports.yahoo.com/nfl/players/9560,RB,$7 Winning Offer,"[[""Kareem'd my Pants"", 'https://football.fantasysports.yahoo.com/2017/f1/347949/6', '$1 (Lower Offer)']]",BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Nov 15, 4:47 am",1,7,"Danny WoodheadBryanIsATamponNov 15, 4:47 am7",2017
Blake Bortles,https://sports.yahoo.com/nfl/players/27531,QB,$6 Winning Offer,"[['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$2 (Lower Offer)'], [""Kareem'd my Pants"", 'https://football.fantasysports.yahoo.com/2017/f1/347949/6', '$1 (Lower Offer)']]",BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Nov 15, 4:47 am",1,6,"Blake BortlesBryanIsATamponNov 15, 4:47 am6",2017
Rex Burkhead,https://sports.yahoo.com/nfl/players/26813,RB,$12 Winning Offer,"[['Golladayum', 'https://football.fantasysports.yahoo.com/2017/f1/347949/3', '$12 (Lower waiver priority)']]",BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Nov 15, 4:47 am",1,12,"Rex BurkheadBryanIsATamponNov 15, 4:47 am12",2017
Jamaal Williams,https://sports.yahoo.com/nfl/players/30247,RB,$12 Winning Offer,"[['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$6 (Lower Offer)'], ['Magic Skol Bus', 'https://football.fantasysports.yahoo.com/2017/f1/347949/9', '$1 (Lower Offer)']]",Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Nov 15, 4:47 am",1,12,"Jamaal WilliamsGolladayumNov 15, 4:47 am12",2017
Rishard Matthews,https://sports.yahoo.com/nfl/players/25937,WR,$12 Winning Offer,"[['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$4 (Lower Offer)']]",The Juice Is Loose,https://football.fantasysports.yahoo.com/2017/f1/347949/10,"Nov 8, 5:18 am",1,12,"Rishard MatthewsThe Juice Is LooseNov 8, 5:18 am12",2017
Carolina,https://sports.yahoo.com/nfl/teams/carolina/,DEF,$8 Winning Offer,"[['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$5 (Lower Offer)']]",The Juice Is Loose,https://football.fantasysports.yahoo.com/2017/f1/347949/10,"Nov 8, 5:18 am",1,8,"CarolinaThe Juice Is LooseNov 8, 5:18 am8",2017
James White,https://sports.yahoo.com/nfl/players/27658,RB,$16 Winning Offer,"[['Magic Skol Bus', 'https://football.fantasysports.yahoo.com/2017/f1/347949/9', '$2 (Lower Offer)']]",BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Nov 8, 5:18 am",1,16,"James WhiteBryanIsATamponNov 8, 5:18 am16",2017
Paul Richardson,https://sports.yahoo.com/nfl/players/27573,WR,$10 Winning Offer,"[['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$8 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2017/f1/347949/5,"Nov 1, 9:24 am",1,10,"Paul RichardsonCantStopWontStopNov 1, 9:24 am10",2017
Jared Goff,https://sports.yahoo.com/nfl/players/29235,QB,$7 Winning Offer,"[['CantStopWontStop', 'https://football.fantasysports.yahoo.com/2017/f1/347949/5', '$2 (Lower Offer)'], ['Dezspacito', 'https://football.fantasysports.yahoo.com/2017/f1/347949/2', '$1 (Lower Offer)'], ['UGotAnyGamesOnUrPhon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/1', '$1 (Lower Offer)']]",Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Nov 1, 9:24 am",1,7,"Jared GoffGolladayumNov 1, 9:24 am7",2017
Alex Collins,https://sports.yahoo.com/nfl/players/29405,RB,$20 Winning Offer,"[['Golladayum', 'https://football.fantasysports.yahoo.com/2017/f1/347949/3', '$17 (Lower Offer)'], ['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$3 (Lower Offer)'], ['UGotAnyGamesOnUrPhon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/1', '$2 (Lower Offer)']]",Dezspacito,https://football.fantasysports.yahoo.com/2017/f1/347949/2,"Nov 1, 9:24 am",1,20,"Alex CollinsDezspacitoNov 1, 9:24 am20",2017
Jack Doyle,https://sports.yahoo.com/nfl/players/27299,TE,$4 Winning Offer,"[[""Kareem'd my Pants"", 'https://football.fantasysports.yahoo.com/2017/f1/347949/6', '$3 (Lower Offer)'], ['Dezspacito', 'https://football.fantasysports.yahoo.com/2017/f1/347949/2', '$1 (Lower Offer)']]",Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Nov 1, 9:24 am",1,4,"Jack DoyleMagic Skol BusNov 1, 9:24 am4",2017
Latavius Murray,https://sports.yahoo.com/nfl/players/26804,RB,$12 Winning Offer,"[[""Kareem'd my Pants"", 'https://football.fantasysports.yahoo.com/2017/f1/347949/6', '$5 (Lower Offer)']]",Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Oct 25, 4:47 am",1,12,"Latavius MurrayGolladayumOct 25, 4:47 am12",2017
Kenny Stills,https://sports.yahoo.com/nfl/players/26767,WR,$11 Winning Offer,"[['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$3 (Lower Offer)']]",Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Oct 25, 4:47 am",1,11,"Kenny StillsKareem'd my PantsOct 25, 4:47 am11",2017
Josh Doctson,https://sports.yahoo.com/nfl/players/29256,WR,$25 Winning Offer,"[['Golladayum', 'https://football.fantasysports.yahoo.com/2017/f1/347949/3', '$10 (Lower Offer)']]",Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Oct 25, 4:47 am",1,25,"Josh DoctsonMagic Skol BusOct 25, 4:47 am25",2017
Orleans Darkwa,https://sports.yahoo.com/nfl/players/28169,RB,$10 Winning Offer,"[['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$5 (Lower Offer)']]",Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Oct 18, 4:39 am",1,10,"Orleans DarkwaGolladayumOct 18, 4:39 am10",2017
Adrian Peterson,https://sports.yahoo.com/nfl/players/8261,RB,$28 Winning Offer,"[['Fetty Watt', 'https://football.fantasysports.yahoo.com/2017/f1/347949/8', '$19 (Lower Offer)'], [""Kareem'd my Pants"", 'https://football.fantasysports.yahoo.com/2017/f1/347949/6', '$4 (Lower Offer)'], ['Magic Skol Bus', 'https://football.fantasysports.yahoo.com/2017/f1/347949/9', '$2 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2017/f1/347949/5,"Oct 11, 4:59 am",1,28,"Adrian PetersonCantStopWontStopOct 11, 4:59 am28",2017
Atlanta,https://sports.yahoo.com/nfl/teams/atlanta/,DEF,$2 Winning Offer,"[['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$1 (Lower Offer)']]",UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Oct 11, 4:59 am",1,2,"AtlantaUGotAnyGamesOnUrPhonOct 11, 4:59 am2",2017
Jerick McKinnon,https://sports.yahoo.com/nfl/players/27624,RB,$55 Winning Offer,"[['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$43 (Lower Offer)'], ['Magic Skol Bus', 'https://football.fantasysports.yahoo.com/2017/f1/347949/9', '$36 (Lower Offer)'], ['Golladayum', 'https://football.fantasysports.yahoo.com/2017/f1/347949/3', '$35 (Lower Offer)'], ['CantStopWontStop', 'https://football.fantasysports.yahoo.com/2017/f1/347949/5', '$26 (Lower Offer)'], ['The Brady Bunch', 'https://football.fantasysports.yahoo.com/2017/f1/347949/4', '$25 (Lower Offer)'], ['UGotAnyGamesOnUrPhon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/1', '$9 (Lower Offer)'], [""Kareem'd my Pants"", 'https://football.fantasysports.yahoo.com/2017/f1/347949/6', '$4 (Lower Offer)']]",Dezspacito,https://football.fantasysports.yahoo.com/2017/f1/347949/2,"Oct 11, 4:59 am",1,55,"Jerick McKinnonDezspacitoOct 11, 4:59 am55",2017
Javorius Allen,https://sports.yahoo.com/nfl/players/28513,RB,$20 Winning Offer,"[['Golladayum', 'https://football.fantasysports.yahoo.com/2017/f1/347949/3', '$6 (Lower Offer)']]",Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Oct 11, 4:59 am",1,20,"Javorius AllenMagic Skol BusOct 11, 4:59 am20",2017
Hunter Henry,https://sports.yahoo.com/nfl/players/29269,TE,$3 Winning Offer,"[['BryanIsATampon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/7', '$3 (Lower waiver priority)']]",Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Oct 11, 4:59 am",1,3,"Hunter HenryMagic Skol BusOct 11, 4:59 am3",2017
Minnesota,https://sports.yahoo.com/nfl/teams/minnesota/,DEF,$4 Winning Offer,"[['Golladayum', 'https://football.fantasysports.yahoo.com/2017/f1/347949/3', '$3 (Lower Offer)'], ['Magic Skol Bus', 'https://football.fantasysports.yahoo.com/2017/f1/347949/9', '$2 (Lower Offer)'], ['UGotAnyGamesOnUrPhon', 'https://football.fantasysports.yahoo.com/2017/f1/347949/1', '$1 (Lower Offer)']]",BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Oct 4, 5:26 am",1,4,"MinnesotaBryanIsATamponOct 4, 5:26 am4",2017
