,player_conc,player_id
0,Josh McCownQB,5967
1,Jared CookTE,9353
2,Ben TateRB,24033
3,Bilal PowellRB,24913
4,Brock OsweilerQB,25767
5,Charles ClayTE,24961
6,C.J. FiedorowiczTE,27593
7,Adam HumphriesWR,29070
8,Alex CollinsRB,29405
9,Ameer AbdullahRB,28442
10,Brian HillRB,30269
11,Cameron MeredithWR,28697
12,Antonio CallawayWR,31075
13,Carlos HydeRB,27585
14,Chris CarsonRB,30362
15,Chris HoganWR,25178
16,Bryan EdwardsWR,32751
17,Chris ThompsonRB,26777
18,Cole BeasleyWR,26060
19,Daniel JonesQB,31838
20,Darrell HendersonRB,31902
21,Darren WallerWR,28592
22,Devontae BookerRB,29370
23,Michael PIttmanWR,4326
24,Rod SmithRB,3328
25,St. LouisDEF,5239
26,Dennis PittaTE,24089
27,Isaac RedmanRB,9674
28,Sam BradfordQB,23976
29,Dion LewisRB,24936
30,Dontrelle InmanWR,25120
31,Mark IngramRB,24815
32,Roy HeluRB,24892
33,Terrelle PryorWR,25681
34,Terrelle Pryor Sr.WR,25681
35,Titus YoungWR,24831
36,Vincent BrownWR,24869
37,Daryl RichardsonRB,25962
38,Kendall WrightWR,25730
39,Marvin JonesWR,25876
40,Mohamed SanuWR,25793
41,Rishard MatthewsWR,25937
42,Jack DoyleTE,27299
43,Justin HunterWR,26657
44,Mike GillisleeRB,26787
45,Theo RiddickRB,26822
46,Tyler EifertTE,26644
47,Charles SimsRB,27597
48,Donte MoncriefWR,27618
49,Kapri BibbsRB,27821
50,Marqise LeeWR,27567
51,Paul Richardson Jr.WR,27573
52,Taylor GabrielWR,28234
53,Trey BurtonTE,27789
54,Willie SneadWR,28026
55,Eli RogersWR,28669
56,Jay AjayiRB,28537
57,Kevin WhiteWR,28395
58,Melvin GordonRB,28403
59,T.J. YeldonRB,28424
60,Thomas RawlsRB,28714
61,Todd GurleyRB,28398
62,Tyrell WilliamsWR,28691
63,DeAndre WashingtonRB,29377
64,Geronimo AllisonWR,29719
65,Jalen RichardRB,30000
66,Jordan HowardRB,29384
67,Josh DoctsonWR,29256
68,Kenneth DixonRB,29368
69,Kenneth FarrowRB,29518
70,Malcolm MitchellWR,29346
71,Paul PerkinsRB,29383
72,Rob KelleyRB,29694
73,Dede WestbrookWR,30223
74,Elijah McGuireRB,30301
75,Justin DavisRB,30370
76,Tarik CohenRB,30232
77,Wayne Gallman Jr.RB,30253
78,Zay JonesWR,30150
79,Hayden HurstTE,30995
80,Ito SmithRB,31096
81,Jaylen SamuelsRB,31135
82,Josh AdamsRB,31567
83,Kalen BallageRB,31100
84,Kerryon JohnsonRB,31013
85,Mike GesickiTE,31012
86,Noah FantTE,31852
87,T.J. HockensonTE,31840
88,Jerry JeudyWR,32685
89,Marquez CallawayWR,33109
90,Zack MossRB,32756
91,Trevor LawrenceQB,33389
92,Trey SermonRB,33476
