Owner,Player,Position,Team,Price,conc,Standard Name
Scott,Pittsburgh,DST,"
DST (9)",4,Pittsburgh DST,PittsburghDST
Mark,Cleveland,DST,"
DST (10)",3,ClevelandDST,ClevelandDST
Ben,Dallas,DST,"
DST (7)",2,DallasDST,DallasDST
Luke,San Francisco,DST,"
DST (9)",2,San FranciscoDST,San FranciscoDST
Krista,New York (NYJ),DST,"
DST (12)",1,New York (NYJ)DST,New York (NYJ)DST
Patrick,New Orleans,DST,"
DST (12)",1,New OrleansDST,New OrleansDST
Duncan,Cincinnati,DST,"
DST (12)",1,CincinnatiDST,Cincinnati Bengals DST
Duncan,Houston,DST,"
DST (14)",1,HoustonDST,Houston Texans DST
KJ,Kansas City,DST,"
DST (6)",1,Kansas CityDST,Kansas CityDST
Krista,Patrick Mahomes II,QB,"
KC (6)",52,Patrick Mahomes IIQB,Patrick Mahomes IIQB
Duncan,Josh Allen,QB,"
BUF (12)",51,Josh AllenQB,Josh AllenQB
KJ,Jalen Hurts,QB,"
PHI (5)",48,Jalen HurtsQB,Jalen HurtsQB
David,C.J. Stroud,QB,"
HOU (14)",47,C.J. StroudQB,C.J. StroudQB
Mark,Kyler Murray,QB,"
ARI (11)",42,Kyler MurrayQB,Kyler MurrayQB
Patrick,Lamar Jackson,QB,"
BAL (14)",40,Lamar JacksonQB,Lamar JacksonQB
Patrick,Anthony Richardson,QB,"
IND (14)",28,Anthony RichardsonQB,Anthony RichardsonQB
David,Jordan Love,QB,"
GB (10)",25,Jordan LoveQB,Jordan LoveQB
Bryan,Dak Prescott,QB,"
DAL (7)",22,Dak PrescottQB,Dak PrescottQB
Ben,Jayden Daniels,QB,"
WAS (14)",22,Jayden DanielsQB,Jayden DanielsQB
Luke,Joe Burrow,QB,"
CIN (12)",21,Joe BurrowQB,Joe BurrowQB
Krista,Caleb Williams,QB,"
CHI (7)",19,Caleb WilliamsQB,Caleb WilliamsQB
Mark,Trevor Lawrence,QB,"
JAC (12)",14,Trevor LawrenceQB,Trevor LawrenceQB
Scott,Brock Purdy,QB,"
SF (9)",8,Brock PurdyQB,Brock PurdyQB
Scott,Deshaun Watson,QB,"
CLE (10)",7,Deshaun WatsonQB,Deshaun WatsonQB
Duncan,Tua Tagovailoa,QB,"
MIA (6)",6,Tua TagovailoaQB,Tua TagovailoaQB
Scott,Kirk Cousins,QB,"
ATL (12)",5,Kirk CousinsQB,Kirk CousinsQB
Patrick,Will Levis,QB,"
TEN (5)",5,Will LevisQB,Will LevisQB
