Owner,Player,Position,Team,Price
Mark+David,De'Von Achane,RB,,39
Mark+David,Patrick Mahomes II,QB,,31
Mark+David,Puka Nacua,WR,,42
Mark+David,TreVeyon Henderson,RB,,27
Mark+David,George Pickens,WR,,23
Mark+David,Isiah Pacheco,RB,,11
Mark+David,Jaylen Waddle,WR,,8
Mark+David,Pittsburgh Steelers ,DST,,4
Mark+David,David Njoku,TE,,3
Mark+David,Xavier Worthy,WR,,11
Mark+David,Jordan Love,QB,,7
Mark+David,Tyler Warren,TE,,6
Mark+David,Deebo Samuel Sr.,WR,,3
Mark+David,Trevor Lawrence,QB,,5
Mark+David,Quinshon Judkins,RB,,2
Mark+David,Chris Godwin Jr.,WR,,2
Mark+David,Jaydon Blue,RB,,1
Scott,Terry McLaurin,WR,,18
Scott,Derrick Henry,RB,,48
Scott,Drake London,WR,,44
Scott,Tyreek Hill,WR,,24
Scott,James Cook,RB,,20
Scott,Breece Hall,RB,,15
Scott,Jameson Williams,WR,,12
Scott,Jared Goff,QB,,19
Scott,Michael Penix Jr.,QB,,5
Scott,Jaylen Warren,RB,,4
Scott,Evan Engram,TE,,8
Scott,Tyler Allgeier,RB,,2
Scott,Braelon Allen,RB,,1
Scott,Jordan Addison,WR,,2
Scott,Cam Skattebo,RB,,1
Scott,Tua Tagovailoa,QB,,1
Scott,Atlanta Falcons DST,DST,,1
Luke,Jalen Hurts,QB,,49
Luke,Nico Collins,WR,,51
Luke,Josh Jacobs,RB,,33
Luke,Mike Evans,WR,,19
Luke,Tee Higgins,WR,,21
Luke,Kenneth Walker III,RB,,16
Luke,C.J. Stroud,QB,,14
Luke,T.J. Hockenson,TE,,3
Luke,RJ Harvey,RB,,9
Luke,Rome Odunze,WR,,6
Luke,Zach Charbonnet,RB,,2
Luke,Jauan Jennings,WR,,1
Luke,Houston Texans ,DST,,1
KJ,Kyler Murray,QB,,27
KJ,Justin Jefferson,WR,,58
KJ,Ashton Jeanty,RB,,43
KJ,Jahmyr Gibbs,RB,,56
KJ,J.J. McCarthy,QB,,9
KJ,Marvin Harrison Jr.,WR,,16
KJ,Chris Olave,WR,,4
KJ,Aaron Jones Sr.,RB,,4
KJ,Keon Coleman,WR,,2
KJ,Cam Ward,QB,,1
KJ,Jordan Mason,RB,,1
KJ,Javonte Williams,RB,,1
KJ,Green Bay Packers ,DST,,1
KJ,Jayden Higgins,WR,,1
KJ,Jake Ferguson,TE,,1
Duncan,CeeDee Lamb,WR,,58
Duncan,Ja'Marr Chase,WR,,65
Duncan,Brock Bowers,TE,,27
Duncan,Trey McBride,TE,,20
Duncan,James Conner,RB,,11
Duncan,Justin Herbert,QB,,6
Duncan,Justin Fields,QB,,9
Duncan,DeVonta Smith,WR,,12
Duncan,Ricky Pearsall,WR,,7
Duncan,David Montgomery,RB,,4
Duncan,Arizona Cardinals ,DST,,1
Duncan,J.K. Dobbins,RB,,1
Duncan,Geno Smith,QB,,1
Duncan,Tank Bigsby,RB,,1
Duncan,Ray Davis,RB,,1
Duncan,Matthew Stafford,QB,,1
Krista,Lamar Jackson,QB,,56
Krista,Baker Mayfield,QB,,35
Krista,Travis Kelce,TE,,8
Krista,A.J. Brown,WR,,34
Krista,Ladd McConkey,WR,,26
Krista,Chuba Hubbard,RB,,11
Krista,Tony Pollard,RB,,9
Krista,Courtland Sutton,WR,,16
Krista,D'Andre Swift,RB,,10
Krista,Kyle Pitts Sr.,TE,,1
Krista,Philadelphia Eagles ,DST,,4
Krista,Matthew Golden,WR,,10
Krista,Nick Chubb,RB,,1
Krista,Cooper Kupp,WR,,3
Krista,Will Shipley,RB,,1
Bryan,Christian McCaffrey,RB,,49
Bryan,Chase Brown,RB,,33
Bryan,George Kittle,TE,,20
Bryan,Jonathan Taylor,RB,,28
Bryan,Bo Nix,QB,,21
Bryan,Brock Purdy,QB,,14
Bryan,Davante Adams,WR,,16
Bryan,Garrett Wilson,WR,,16
Bryan,Tetairoa McMillan,WR,,11
Bryan,Jerry Jeudy,WR,,6
Bryan,Emeka Egbuka,WR,,7
Bryan,Minnesota Vikings ,DST,,1
Bryan,Brian Robinson Jr.,RB,,2
Bryan,Josh Downs,WR,,1
Ben,Amon-Ra St. Brown,WR,,44
Ben,Bijan Robinson,RB,,68
Ben,Dak Prescott,QB,,20
Ben,Kyren Williams,RB,,25
Ben,Alvin Kamara,RB,,12
Ben,Sam LaPorta,TE,,10
Ben,DK Metcalf,WR,,18
Ben,Caleb Williams,QB,,10
Ben,Zay Flowers,WR,,10
Ben,Khalil Shakir,WR,,2
Ben,Baltimore Ravens ,DST,,2
Ben,Kaleb Johnson,RB,,2
Ben,Michael Pittman Jr.,WR,,1
Ben,New York Jets ,DST,,1
Pat,Josh Allen,QB,,52
Pat,Malik Nabers,WR,,45
Pat,Brian Thomas Jr.,WR,,45
Pat,Bucky Irving,RB,,29
Pat,Jaxon Smith-Njigba,WR,,22
Pat,Drake Maye,QB,,14
Pat,Mark Andrews,TE,,2
Pat,Calvin Ridley,WR,,8
Pat,Tyrone Tracy Jr.,RB,,5
Pat,Tucker Kraft,TE,,3
Waidmann,Jayden Daniels,QB,,51
Waidmann,Joe Burrow,QB,,51
Waidmann,Saquon Barkley,RB,,58
Waidmann,Omarion Hampton,RB,,20
Waidmann,DJ Moore,WR,,9
Waidmann,Travis Hunter,WR,,8
Waidmann,Denver Broncos ,DST,,6
Waidmann,Jacory Croskey-Merritt,RB,,6
Waidmann,Rashee Rice,WR,,5
Waidmann,Stefon Diggs,WR,,2
Waidmann,Colston Loveland,TE,,2
Waidmann,Jakobi Meyers,WR,,2
Waidmann,Chris Rodriguez Jr.,RB,,1
Waidmann,Bryce Young,QB,,2
Waidmann,Trey Benson,RB,,1
Waidmann,Ollie Gordon II,RB,,1
