,player_conc,player_name,position,player_id
0,Josh McCownQB,Josh McCown,QB,5967
1,Jared CookTE,Jared Cook,TE,9353
2,Ben TateRB,Ben Tate,RB,24033
3,Bilal PowellRB,Bilal Powell,RB,24913
4,Brock OsweilerQB,Brock Osweiler,QB,25767
5,Charles ClayTE,Charles Clay,TE,24961
6,C.J. FiedorowiczTE,C.J. Fiedorowicz,TE,27593
7,Adam HumphriesWR,Adam Humphries,WR,29070
8,Alex CollinsRB,Alex Collins,RB,29405
9,Ameer AbdullahRB,Ameer Abdullah,RB,28442
10,Brian HillRB,Brian Hill,RB,30269
11,Cameron MeredithWR,Cameron Meredith,WR,28697
12,Antonio CallawayWR,Antonio Callaway,WR,31075
13,Carlos HydeRB,Carlos Hyde,RB,27585
14,Chris CarsonRB,Chris Carson,RB,30362
15,Chris HoganWR,Chris Hogan,WR,25178
16,Bryan EdwardsWR,Bryan Edwards,WR,32751
17,Chris ThompsonRB,Chris Thompson,RB,26777
18,Cole BeasleyWR,Cole Beasley,WR,26060
19,Daniel JonesQB,Daniel Jones,QB,31838
20,Darrell HendersonRB,Darrell Henderson,RB,31902
21,Darren WallerTE,Darren Waller,TE,28592
22,Devontae BookerRB,Devontae Booker,RB,29370
23,Michael Pittman Jr.WR,Michael Pittman Jr.,WR,32704
24,Rod SmithRB,Rod Smith,RB,3328
25,St. LouisDEF,St. Louis,DEF,5239
26,Dennis PittaTE,Dennis Pitta,TE,24089
27,Isaac RedmanRB,Isaac Redman,RB,9674
28,Sam BradfordQB,Sam Bradford,QB,23976
29,Dion LewisRB,Dion Lewis,RB,24936
30,Dontrelle InmanWR,Dontrelle Inman,WR,25120
31,Mark Ingram IIRB,Mark Ingram II,RB,24815
32,Roy HeluRB,Roy Helu,RB,24892
33,Terrelle PryorWR,Terrelle Pryor,WR,25681
35,Titus YoungWR,Titus Young,WR,24831
36,Vincent BrownWR,Vincent Brown,WR,24869
37,Daryl RichardsonRB,Daryl Richardson,RB,25962
38,Kendall WrightWR,Kendall Wright,WR,25730
39,Marvin JonesWR,Marvin Jones,WR,25876
40,Mohamed SanuWR,Mohamed Sanu,WR,25793
41,Rishard MatthewsWR,Rishard Matthews,WR,25937
42,Jack DoyleTE,Jack Doyle,TE,27299
43,Justin HunterWR,Justin Hunter,WR,26657
44,Mike GillisleeRB,Mike Gillislee,RB,26787
45,Theo RiddickRB,Theo Riddick,RB,26822
46,Tyler EifertTE,Tyler Eifert,TE,26644
47,Charles SimsRB,Charles Sims,RB,27597
48,Donte MoncriefWR,Donte Moncrief,WR,27618
49,Kapri BibbsRB,Kapri Bibbs,RB,27821
50,Marqise LeeWR,Marqise Lee,WR,27567
51,Paul Richardson Jr.WR,Paul Richardson Jr.,WR,27573
52,Taylor GabrielWR,Taylor Gabriel,WR,28234
53,Trey BurtonTE,Trey Burton,TE,27789
54,Willie SneadWR,Willie Snead,WR,28026
55,Eli RogersWR,Eli Rogers,WR,28669
56,Jay AjayiRB,Jay Ajayi,RB,28537
57,Kevin WhiteWR,Kevin White,WR,28395
58,Melvin GordonRB,Melvin Gordon,RB,28403
59,T.J. YeldonRB,T.J. Yeldon,RB,28424
60,Thomas RawlsRB,Thomas Rawls,RB,28714
61,Todd GurleyRB,Todd Gurley,RB,28398
62,Tyrell WilliamsWR,Tyrell Williams,WR,28691
63,DeAndre WashingtonRB,DeAndre Washington,RB,29377
64,Geronimo AllisonWR,Geronimo Allison,WR,29719
65,Jalen RichardRB,Jalen Richard,RB,30000
66,Jordan HowardRB,Jordan Howard,RB,29384
67,Josh DoctsonWR,Josh Doctson,WR,29256
68,Kenneth DixonRB,Kenneth Dixon,RB,29368
69,Kenneth FarrowRB,Kenneth Farrow,RB,29518
