team_key,name,rank,playoff_seed,outcome_totals,streak,points_for,points_against,wins,losses,ties,percentage,moves,faab_balance,league_key
175.l.580505.t.3,The Schwaggerts,1,2,"{'wins': '7', 'losses': '6', 'ties': '1', 'percentage': '.536'}","{'type': 'loss', 'value': '3'}",971.00,1013.0,7,6,1,.536,8,2,175.l.580505
175.l.580505.t.6,Free Win,2,1,"{'wins': '11', 'losses': '2', 'ties': '1', 'percentage': '.821'}","{'type': 'win', 'value': '2'}",1098.00,860.0,11,2,1,.821,31,1,175.l.580505
175.l.580505.t.2,Lukedog,3,3,"{'wins': '7', 'losses': '6', 'ties': '1', 'percentage': '.536'}","{'type': 'win', 'value': '2'}",914.00,1055.0,7,6,1,.536,36,0,175.l.580505
175.l.580505.t.5,Purple Rain,4,4,"{'wins': '5', 'losses': '8', 'ties': '1', 'percentage': '.393'}","{'type': 'loss', 'value': '2'}",964.00,1010.0,5,8,1,.393,20,1,175.l.580505
175.l.580505.t.1,Philadelphia Freedom,5,6,"{'wins': '5', 'losses': '9', 'ties': 0, 'percentage': '.357'}","{'type': 'win', 'value': '1'}",973.00,1035.0,5,9,0,.357,16,0,175.l.580505
175.l.580505.t.4,The Phenomenators,6,5,"{'wins': '5', 'losses': '9', 'ties': 0, 'percentage': '.357'}","{'type': 'loss', 'value': '1'}",1201.00,1148.0,5,9,0,.357,14,2,175.l.580505
222.l.790872.t.3,571itsgoindown,1,4,"{'wins': '6', 'losses': '6', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '4'}",1197.28,1210.6399999999999,6,6,0,.500,11,0,222.l.790872
222.l.790872.t.4,Nashville Stranglers,2,3,"{'wins': '7', 'losses': '5', 'ties': 0, 'percentage': '.583'}","{'type': 'win', 'value': '2'}",1152.02,1083.1599999999999,7,5,0,.583,19,0,222.l.790872
222.l.790872.t.6,BeadsMeOff,3,2,"{'wins': '7', 'losses': '5', 'ties': 0, 'percentage': '.583'}","{'type': 'loss', 'value': '1'}",1203.88,1112.6399999999999,7,5,0,.583,27,0,222.l.790872
222.l.790872.t.2,EveryoneIsGayButMe,4,1,"{'wins': '8', 'losses': '4', 'ties': 0, 'percentage': '.667'}","{'type': 'win', 'value': '6'}",1242.24,1139.08,8,4,0,.667,12,1,222.l.790872
222.l.790872.t.8,SuperStunnaFoSho,5,5,"{'wins': '6', 'losses': '6', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '1'}",1164.04,1163.46,6,6,0,.500,20,1,222.l.790872
222.l.790872.t.1,LiveFree or DieFavre,6,6,"{'wins': '5', 'losses': '7', 'ties': 0, 'percentage': '.417'}","{'type': 'win', 'value': '1'}",1179.06,1222.7800000000002,5,7,0,.417,14,0,222.l.790872
